Year,"Region, development group, country or area",Both 0-4,Both 5-9,Both 10-14,Both  15-19,Both 20-24,Both 25-29,Both 30-34,Both 35-39,Both 40-44,Both 45-49,Both 50-54,Both 55-59,Both 60-64,Both 65-69,Both 70-74,Both 75+,Both Tot,Male 0-4,Male 5-9,Male 10-14,Male  15-19,Male 20-24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75+,Male Total,Female 0-4,Female 5-9,Female 10-14,Female  15-19,Female 20-24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75+,Female Total
2005,   Turkmenistan,3311,6057,6963,8218,10258,11962,12937,15117,16683,17893,17236,16164,16169,16760,17842,19483,213053,1736,3359,3776,4320,5202,5896,6281,7307,8044,8597,8205,7597,7544,7537,7726,8087,101214,1575,2698,3187,3898,5056,6066,6656,7810,8639,9296,9031,8567,8625,9223,10116,11396,111839
2010,   Turkmenistan,2525,4199,5802,6971,8408,10173,11907,12974,14418,15017,16026,16194,16179,16974,19390,20822,197979,1249,2211,3064,3552,4140,4888,5645,6112,6761,7006,7362,7379,7341,7589,8086,8249,90634,1276,1988,2738,3419,4268,5285,6262,6862,7657,8011,8664,8815,8838,9385,11304,12573,107345
2015,   Turkmenistan,2743,3494,5196,6637,7992,9656,11475,12929,14234,15296,16132,16743,16823,17229,18897,20900,196376,1343,1824,2792,3455,4020,4721,5510,6151,6736,7203,7520,7714,7704,7811,8215,8812,91531,1400,1670,2404,3182,3972,4935,5965,6778,7498,8093,8612,9029,9119,9418,10682,12088,104845
2020,   Turkmenistan,2878,3243,3978,6078,8367,10094,11370,12626,13650,14649,15312,15864,16254,16183,16461,27913,194920,1435,1720,2170,3215,4282,5026,5563,6122,6584,7034,7281,7459,7598,7492,7320,12056,92357,1443,1523,1808,2863,4085,5068,5807,6504,7066,7615,8031,8405,8656,8691,9141,15857,102563
1990,   Uzbekistan,38362,47781,62225,75631,80114,90818,110783,135551,147004,134934,117045,110673,122377,117702,125299,136701,1653000,19262,25073,31935,37506,38013,41443,49558,60402,65512,59920,51609,47696,50551,46679,45446,53013,723618,19100,22708,30290,38125,42101,49375,61225,75149,81492,75014,65436,62977,71826,71023,79853,83688,929382
1995,   Uzbekistan,35103,43721,56938,69206,73308,83102,101371,124035,134515,123471,107101,101271,111981,107703,114654,125097,1512577,17523,22765,28981,34015,34442,37519,44852,54666,59286,54211,46677,43118,45661,42126,43832,47816,657490,17580,20956,27957,35191,38866,45583,56519,69369,75229,69260,60424,58153,66320,65577,70822,77281,855087
2000,   Uzbekistan,21866,39991,45976,54266,67727,78975,85413,99808,110140,118139,113792,106718,106749,110645,117783,128510,1406498,10936,20787,23360,26622,31757,35580,37703,43880,48427,51755,49491,45341,43430,43173,44920,49001,606163,10930,19204,22616,27644,35970,43395,47710,55928,61713,66384,64301,61377,63319,67472,72863,79509,800335
2005,   Uzbekistan,18980,33336,41515,49404,60704,71991,80819,91364,101151,107031,108208,105291,105255,110009,117105,127769,1329932,9488,17730,21546,24779,29265,33627,37130,41770,46114,48609,48635,46653,44451,44517,45615,49761,589690,9492,15606,19969,24625,31439,38364,43689,49594,55037,58422,59573,58638,60804,65492,71490,78008,740242
2010,   Uzbekistan,15741,26170,36157,43446,52403,63401,74201,80855,89851,93586,99877,100919,100822,106237,113091,123392,1220149,7882,13939,19306,22404,26135,30884,35681,38647,42756,44310,46584,46693,44237,44636,45093,49192,558379,7859,12231,16851,21042,26268,32517,38520,42208,47095,49276,53293,54226,56585,61601,67998,74200,661770
2015,   Uzbekistan,15144,23276,32877,40392,48735,58932,69345,76511,84782,89316,94956,96894,97059,106217,113070,123367,1170873,7587,12403,17856,21236,24805,29271,33955,37203,41035,43024,45164,45673,43558,45740,46493,50718,545721,7557,10873,15021,19156,23930,29661,35390,39308,43747,46292,49792,51221,53501,60477,66577,72649,625152
2020,   Uzbekistan,17046,20973,28198,42463,60348,73003,77955,81040,82779,86902,86512,88340,87658,85973,92450,150367,1162007,8547,11184,15324,22340,30739,36289,38203,39440,40101,41899,41186,41681,39383,37070,38068,61910,543364,8499,9789,12874,20123,29609,36714,39752,41600,42678,45003,45326,46659,48275,48903,54382,88457,618643
1990,  Eastern Asia,97118,122033,147963,206708,285768,359499,402765,378877,363876,287440,269084,276202,252719,183309,138486,187419,3959266,49198,62473,76660,104086,135903,170789,199187,196781,194398,155752,144868,144665,131463,89377,65064,76139,1996803,47920,59560,71303,102622,149865,188710,203578,182096,169478,131688,124216,131537,121256,93932,73422,111280,1962463
1995,  Eastern Asia,125867,141521,155523,206479,346098,445991,467189,471952,410339,379935,300022,275391,265295,234965,175362,237820,4639749,65262,74038,81212,104767,162692,195956,208721,228601,206365,200414,163927,147372,138461,116061,82983,97424,2274256,60605,67483,74311,101712,183406,250035,258468,243351,203974,179521,136095,128019,126834,118904,92379,140396,2365493
2000,  Eastern Asia,130662,157776,200889,232066,391562,519564,555024,522040,492121,428133,393454,304180,276630,258650,217638,312615,5393004,67047,80855,103006,116646,174421,227151,228665,221880,234163,212775,206123,164030,145915,132341,106261,130258,2551537,63615,76921,97883,115420,217141,292413,326359,300160,257958,215358,187331,140150,130715,126309,111377,182357,2841467
2005,  Eastern Asia,136167,163797,188247,268732,512095,611721,642611,604126,543156,496635,444207,395706,307352,270584,239784,403764,6228684,72202,85197,97166,133184,228827,281903,278838,263333,251546,239778,226384,209328,160192,135891,113897,160591,2938257,63965,78600,91081,135548,283268,329818,363773,340793,291610,256857,217823,186378,147160,134693,125887,243173,3290427
2010,  Eastern Asia,151568,170887,225988,316059,602990,719127,697994,690036,633218,547733,494308,421861,380116,284203,244749,481690,7062527,82964,91233,118263,156259,266838,335563,312595,304117,293214,258001,244431,218801,196909,142377,114865,184904,3321334,68604,79654,107725,159800,336152,383564,385399,385919,340004,289732,249877,203060,183207,141826,129884,296786,3741193
2015,  Eastern Asia,183171,192389,218044,347777,676150,827335,798551,733205,707304,634559,545698,473012,400489,349745,250393,528841,7866663,102206,103944,116862,170585,332591,404169,362749,327316,332046,296540,264578,239008,202941,174373,116307,197913,3744128,80965,88445,101182,177192,343559,423166,435802,405889,375258,338019,281120,234004,197548,175372,134086,330928,4122535
2020,  Eastern Asia,212871,216170,250860,363409,663539,945100,970556,870354,801616,759013,657178,551771,461716,374035,319126,558415,8975729,117646,116265,134411,176553,318899,473602,453030,395683,378278,354251,317264,275296,231675,185869,146578,202381,4277681,95225,99905,116449,186856,344640,471498,517526,474671,423338,404762,339914,276475,230041,188166,172548,356034,4698048
1990,   China*,20053,18244,21482,29131,41018,46678,43941,36961,27996,20164,16413,15767,13396,10047,6028,9042,376361,10025,9211,10926,14417,19443,21928,21711,19398,15287,11186,9057,8532,7246,5435,3261,4891,191954,10028,9033,10556,14714,21575,24750,22230,17563,12709,8978,7356,7235,6150,4612,2767,4151,184407
1995,   China*,25028,22770,23642,28794,40609,48260,49068,44895,36618,28073,22834,20520,17770,13327,7996,11994,442198,12666,11610,12119,14300,19076,22006,23215,22573,19382,15336,12595,11146,9389,7042,4225,6338,223018,12362,11160,11523,14494,21533,26254,25853,22322,17236,12737,10239,9374,8381,6285,3771,5656,219180
2000,   China*,29988,27282,25820,28516,40279,49912,54218,52813,45200,35936,29219,25253,22121,16591,9954,14932,508034,15298,14002,13316,14203,18737,22113,24732,25751,23464,19467,16115,13749,11524,8644,5187,7780,254082,14690,13280,12504,14313,21542,27799,29486,27062,21736,16469,13104,11504,10597,7947,4767,7152,253952
2005,   China*,40940,36197,36792,43292,53757,64053,68251,66241,58919,48816,40537,34371,30185,22638,13583,20375,678947,23240,20646,21067,24115,28383,32568,35495,36284,33914,29072,24491,20552,17424,13067,7841,11761,379920,17700,15551,15725,19177,25374,31485,32756,29957,25005,19744,16046,13819,12761,9571,5742,8614,299027
2010,   China*,51973,45088,47979,58554,67229,77945,81886,79262,72499,61771,51995,43549,38306,28730,17238,25857,849861,31293,27259,29105,34683,38024,42683,45717,46271,44180,38776,33053,27434,23401,17552,10531,15796,505758,20680,17829,18874,23871,29205,35262,36169,32991,28319,22995,18942,16115,14905,11178,6707,10061,344103
2015,   China*,69235,53205,53743,63944,74082,85790,91684,90201,83512,72274,61053,51200,44565,33423,20054,30081,978046,42904,33098,33537,39028,43323,48695,52979,54317,52334,46559,39794,33092,27991,20994,12597,18894,600136,26331,20107,20206,24916,30759,37095,38705,35884,31178,25715,21259,18108,16574,12429,7457,11187,377910
2020,   China*,62809,52624,54326,67711,83614,94624,97220,96413,90232,80514,66731,55140,45091,37373,26063,29190,1039675,38933,32745,33910,41338,48912,53728,56190,58078,56561,51880,43505,35647,28329,23480,16376,18340,637952,23876,19879,20416,26373,34702,40896,41030,38335,33671,28634,23226,19493,16762,13893,9687,10850,401723
1990,"   China, Hong Kong SAR*",20253,33151,46966,75564,85351,132179,199741,207566,225572,186170,188798,210120,200738,145895,111694,148715,2218473,10257,17399,25438,39969,41686,62066,97862,108125,121236,102132,102900,110785,105088,71301,51424,56876,1124544,9996,15752,21528,35595,43665,70113,101879,99441,104336,84038,85898,99335,95650,74594,60270,91839,1093929
1995,"   China, Hong Kong SAR*",31831,49271,56052,69014,110444,156984,188714,230167,223141,236259,189416,189256,198839,184713,141413,188284,2443798,16758,26500,30022,36141,49860,56457,73132,107384,110371,125089,105077,102287,104494,91630,66203,73682,1175087,15073,22771,26030,32873,60584,100527,115582,122783,112770,111170,84339,86969,94345,93083,75210,114602,1268711
2000,"   China, Hong Kong SAR*",23718,61537,95442,81370,111137,164436,197341,211196,251861,235301,241766,192505,191250,196062,171634,242566,2669122,12590,31906,49405,41816,41679,59031,62719,73662,117116,114860,125963,105878,103097,102333,84640,98934,1225629,11128,29631,46037,39554,69458,105405,134622,137534,134745,120441,115803,86627,88153,93729,86994,143632,1443493
2005,"   China, Hong Kong SAR*",17043,50900,80867,107980,117829,146561,197375,209237,220290,240568,237581,231478,189159,183554,179848,310965,2721235,8697,25318,40153,53191,40964,48501,56836,67013,97276,112039,118799,122752,98152,91962,84699,118769,1185121,8346,25582,40714,54789,76865,98060,140539,142224,123014,128529,118782,108726,91007,91592,95149,192196,1536114
2010,"   China, Hong Kong SAR*",11818,26317,68618,97228,135148,181334,194979,231421,224119,211290,233162,218535,222254,177406,171054,375267,2779950,5853,12684,33008,46376,44271,56273,51870,69276,95115,94929,113002,112729,112033,86158,77773,136189,1147539,5965,13633,35610,50852,90877,125061,143109,162145,129004,116361,120160,105806,110221,91248,93281,239078,1632411
2015,"   China, Hong Kong SAR*",11866,24990,37614,78255,121454,198529,229530,236038,250188,229129,217507,223988,208117,210238,162856,400814,2841113,5726,11719,17604,36300,37738,58176,56843,66512,102568,99780,102604,112823,102321,99391,71819,139058,1120982,6140,13271,20010,41955,83716,140353,172687,169526,147620,129349,114903,111165,105796,110847,91037,261756,1720131
2020,"   China, Hong Kong SAR*",32125,36153,40660,74914,154064,196414,235248,239968,241105,256361,227017,211782,216348,197461,194423,408449,2962492,14936,16301,18295,33385,44259,52835,52242,61759,94006,106717,103013,103102,102627,89811,82044,132638,1107970,17189,19852,22365,41529,109805,143579,183006,178209,147099,149644,124004,108680,113721,107650,112379,275811,1854522
1990,"   China, Macao SAR*",2473,4746,9143,14005,21045,26396,30982,25086,17535,10172,8247,8181,8290,6799,5226,6721,205047,1308,2520,4819,6321,7222,10891,15122,13262,9598,5643,4548,3992,3678,2832,2160,2463,96379,1165,2226,4324,7684,13823,15505,15860,11824,7937,4529,3699,4189,4612,3967,3066,4258,108668
1995,"   China, Macao SAR*",4913,4731,5791,10641,18862,26683,30033,32370,25987,17385,9828,7987,7917,7863,6184,7754,224929,2602,2489,3041,4909,6705,10850,13031,15273,13500,9269,5282,4049,3799,3429,2585,2847,103660,2311,2242,2750,5732,12157,15833,17002,17097,12487,8116,4546,3938,4118,4434,3599,4907,121269
2000,"   China, Macao SAR*",1424,3323,7601,9024,17090,21590,24549,31969,33597,27326,18831,10731,8234,7905,7166,10431,240791,758,1738,3989,4272,6326,8696,9362,13318,16572,14023,9883,5664,4267,3621,3042,3860,109391,666,1585,3612,4752,10764,12894,15187,18651,17025,13303,8948,5067,3967,4284,4124,6571,131400
2005,"   China, Macao SAR*",3997,4723,5304,12385,17100,24674,27373,28524,34101,35186,27886,19515,10784,8137,7612,12007,279308,2185,2392,2800,5925,7187,10730,11865,12544,15625,16822,14301,10249,5606,3967,3468,4721,130387,1812,2331,2504,6460,9913,13944,15508,15980,18476,18364,13585,9266,5178,4170,4144,7286,148921
2010,"   China, Macao SAR*",1852,2740,4904,9293,22741,27712,29383,33953,34076,37579,35270,28329,19438,9683,7809,13744,318506,1016,1303,2537,4353,10316,12484,13783,15168,13888,16084,17171,14415,9870,4863,3677,5479,146407,836,1437,2367,4940,12425,15228,15600,18785,20188,21495,18099,13914,9568,4820,4132,8265,172099
2015,"   China, Macao SAR*",1979,3526,4465,10741,23647,35300,34906,36140,39851,39362,39081,35034,27805,19903,8846,15480,376066,1041,1737,2073,4767,10889,17319,17291,17550,17892,16615,16492,16906,13553,10397,4093,5974,174589,938,1789,2392,5974,12758,17981,17615,18590,21959,22747,22589,18128,14252,9506,4753,9506,201477
2020,"   China, Macao SAR*",5771,6454,7060,11782,23385,35352,39401,34208,34857,39165,37452,36781,32790,25458,17510,16064,403490,3019,3160,3258,5193,10700,17245,19414,16515,15545,16405,15687,17645,15891,13231,8268,6145,187321,2752,3294,3802,6589,12685,18107,19987,17693,19312,22760,21765,19136,16899,12227,9242,9919,216169
1990,"   China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"   China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"   China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,"   China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"   China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"   China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"   China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,   Dem. People's Republic of Korea,1910,1573,1455,1943,3192,3927,4007,3607,2851,2037,1642,1581,1440,1234,823,881,34103,960,800,745,967,1521,1854,1982,1901,1564,1134,911,860,759,603,402,430,17393,950,773,710,976,1671,2073,2025,1706,1287,903,731,721,681,631,421,451,16710
1995,   Dem. People's Republic of Korea,1912,1575,1531,1908,2933,3672,3965,3783,3166,2423,1961,1757,1610,1238,825,884,35143,961,799,781,943,1371,1669,1867,1900,1672,1318,1077,949,836,596,397,426,17562,951,776,750,965,1562,2003,2098,1883,1494,1105,884,808,774,642,428,458,17581
2000,   Dem. People's Republic of Korea,1920,1582,1613,1879,2685,3430,3926,3971,3491,2815,2285,1939,1685,1244,829,889,36183,965,800,820,921,1226,1490,1757,1904,1786,1505,1245,1042,865,590,393,422,17731,955,782,793,958,1459,1940,2169,2067,1705,1310,1040,897,820,654,436,467,18452
2005,   Dem. People's Republic of Korea,1749,1560,1482,2355,3194,3802,4128,4255,3988,3482,2689,2217,1727,1431,1037,1001,40097,884,792,757,1160,1466,1661,1849,2050,2049,1869,1471,1196,891,682,495,477,19749,865,768,725,1195,1728,2141,2279,2205,1939,1613,1218,1021,836,749,542,524,20348
2010,   Dem. People's Republic of Korea,1522,1344,1566,2160,3330,4195,4622,4666,4495,4140,3508,2582,1997,1474,1147,1262,44010,770,684,802,1066,1532,1837,2079,2253,2313,2226,1922,1395,1032,704,548,603,21766,752,660,764,1094,1798,2358,2543,2413,2182,1914,1586,1187,965,770,599,659,22244
2015,   Dem. People's Republic of Korea,1493,1287,1374,2259,3539,4745,5009,4965,4865,4664,4131,3390,2385,1726,1188,1438,48458,759,658,706,1120,1636,2090,2265,2408,2514,2517,2271,1839,1237,829,571,690,24110,734,629,668,1139,1903,2655,2744,2557,2351,2147,1860,1551,1148,897,617,748,24348
2020,   Dem. People's Republic of Korea,1306,1092,1179,1905,3354,4579,5180,5015,4889,4813,4472,3858,3031,2001,1356,1519,49549,663,558,605,943,1548,2012,2333,2427,2522,2596,2454,2089,1570,958,649,727,24654,643,534,574,962,1806,2567,2847,2588,2367,2217,2018,1769,1461,1043,707,792,24895
1990,   Japan,49285,60359,64878,82668,131076,145625,118494,100825,85474,65444,51370,38492,27446,18355,14111,21415,1075317,25059,30575,32705,40615,63668,71498,59414,51327,44025,33623,25909,19273,13834,8608,7502,11130,538765,24226,29784,32173,42053,67408,74127,59080,49498,41449,31821,25461,19219,13612,9747,6609,10285,536552
1995,   Japan,59412,60223,64602,84687,152641,188804,176594,147010,111164,87418,69771,51717,36632,26232,17785,27679,1362371,30921,31223,33353,42974,74005,91493,85654,73453,55879,44720,36261,26485,18509,12544,9089,13649,680212,28491,29000,31249,41713,78636,97311,90940,73557,55285,42698,33510,25232,18123,13688,8696,14030,682159
2000,   Japan,70412,61249,65468,88244,176909,235062,237180,195314,138865,111009,89721,66288,48939,34169,25996,41619,1686444,35886,31084,33093,44135,81321,106730,105457,91178,64860,53996,45958,33171,23647,15812,12157,18443,796928,34526,30165,32375,44109,95588,128332,131723,104136,74005,57013,43763,33117,25292,18357,13839,23176,889516
2005,   Japan,66255,65128,58462,88738,242347,278647,261047,230608,185433,134268,108693,89696,65031,48145,33916,55141,2011555,34156,33500,29786,43883,110491,128983,116821,103461,80946,61024,51517,43192,31861,22625,15714,23238,931198,32099,31628,28676,44855,131856,149664,144226,127147,104487,73244,57176,46504,33170,25520,18202,31903,1080357
2010,   Japan,73004,64526,66778,84031,263728,288949,261750,227104,205867,164613,118607,92758,73820,53188,39205,56223,2134151,38161,33718,34385,41224,119708,136719,118310,98240,84083,69963,51978,43106,36768,25454,18061,22603,972481,34843,30808,32393,42807,144020,152230,143440,128864,121784,94650,66629,49652,37052,27734,21144,33620,1161670
2015,   Japan,81069,66034,59148,96314,254731,295783,264893,225825,203132,186347,146844,102707,79736,61936,44226,63464,2232189,42617,34402,30854,49595,134085,154232,125223,99400,84676,74451,61673,44641,37052,30651,20711,25807,1050070,38452,31632,28294,46719,120646,141551,139670,126425,118456,111896,85171,58066,42684,31285,23515,37657,1182119
2020,   Japan,89613,65893,70655,82377,148314,341374,375314,323031,282353,252425,223558,172566,115472,82670,62323,83058,2770996,48986,35723,38349,44183,81172,185219,186166,150172,124970,107545,99618,79312,56386,42756,30648,35951,1347156,40627,30170,32306,38194,67142,156155,189148,172859,157383,144880,123940,93254,59086,39914,31675,47107,1423840
1990,   Mongolia,353,349,308,343,816,721,636,597,642,628,480,334,167,143,108,93,6718,179,177,158,176,419,370,320,306,330,322,246,171,88,70,49,38,3419,174,172,150,167,397,351,316,291,312,306,234,163,79,73,59,55,3299
1995,   Mongolia,304,320,283,326,827,806,749,790,853,780,544,368,177,124,93,80,7424,139,146,128,153,410,429,421,467,509,453,303,192,90,55,37,27,3959,165,174,155,173,417,377,328,323,344,327,241,176,87,69,56,53,3465
2000,   Mongolia,258,295,261,313,847,901,860,992,1074,941,613,405,189,107,81,69,8206,105,117,103,133,408,495,513,639,699,592,363,217,93,42,27,18,4564,153,178,158,180,439,406,347,353,375,349,250,188,96,65,54,51,3642
2005,   Mongolia,331,346,305,382,1101,1259,1234,1502,1628,1388,862,560,255,135,102,87,11477,156,160,142,193,633,820,869,1121,1225,1016,600,357,148,65,42,30,7577,175,186,163,189,468,439,365,381,403,372,262,203,107,70,60,57,3900
2010,   Mongolia,441,437,385,495,1481,1761,1747,2185,2369,1993,1212,778,351,178,134,115,16062,245,241,215,297,981,1287,1356,1775,1936,1596,935,559,233,102,69,53,11880,196,196,170,198,500,474,391,410,433,397,277,219,118,76,65,62,4182
